season,division,matchday,date,home_team,away_team,score,year,month,weekday,home_goals,away_goals,result,target,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against,avg_goals_for_combined,avg_goals_against_combined,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against
1990-1991,1,1,1990-09-01,Espanyol,Barcelona,0:1,1990,9,5,0.0,1.0,2,2,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,1,1990-09-02,CD Logroñés,RCD Mallorca,1:2,1990,9,6,1.0,2.0,2,2,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,1,1990-09-02,Real Madrid,CD Castellón,1:0,1990,9,6,1.0,0.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,1,1990-09-02,Real Valladolid,CA Osasuna,1:1,1990,9,6,1.0,1.0,X,1,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,1,1990-09-02,Real Betis,Sporting Gijón,2:2,1990,9,6,2.0,2.0,X,1,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,1,1990-09-02,Real Sociedad,Real Zaragoza,1:0,1990,9,6,1.0,0.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,1,1990-09-02,Real Oviedo,Sevilla FC,0:0,1990,9,6,0.0,0.0,X,1,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,1,1990-09-02,Valencia,Atlético Madrid,1:1,1990,9,6,1.0,1.0,X,1,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,1,1990-09-02,CD Tenerife,Athletic,1:0,1990,9,6,1.0,0.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,1,1990-09-02,Burgos CF,Cádiz CF,1:0,1990,9,6,1.0,0.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-08,Sevilla FC,Real Madrid,2:0,1990,9,5,2.0,0.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-09,Sporting Gijón,Real Valladolid,4:0,1990,9,6,4.0,0.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-09,Atlético Madrid,Real Betis,2:1,1990,9,6,2.0,1.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-09,RCD Mallorca,Real Oviedo,1:1,1990,9,6,1.0,1.0,X,1,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-09,CD Castellón,Espanyol,1:1,1990,9,6,1.0,1.0,X,1,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-09,Barcelona,Valencia,3:1,1990,9,6,3.0,1.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-09,Real Zaragoza,CD Logroñés,0:1,1990,9,6,0.0,1.0,2,2,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-09,CA Osasuna,CD Tenerife,3:1,1990,9,6,3.0,1.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-09,Cádiz CF,Real Sociedad,1:1,1990,9,6,1.0,1.0,X,1,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,2,1990-09-09,Athletic,Burgos CF,2:1,1990,9,6,2.0,1.0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,,,
1990-1991,1,6,1990-10-05,Barcelona,Athletic,4:1,1990,10,4,4.0,1.0,1,0,3.0,1.0,0.0,1.0,1.5,1.0,3.0,1.0,0.0,1.0
1990-1991,1,6,1990-10-06,Sevilla FC,Real Valladolid,1:0,1990,10,5,1.0,0.0,1,0,2.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0
1990-1991,1,6,1990-10-06,Real Sociedad,Real Madrid,1:1,1990,10,5,1.0,1.0,X,1,1.0,0.0,0.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0
1990-1991,1,6,1990-10-06,Cádiz CF,Espanyol,0:0,1990,10,5,0.0,0.0,X,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
1990-1991,1,6,1990-10-06,Sporting Gijón,Burgos CF,0:0,1990,10,5,0.0,0.0,X,1,4.0,0.0,1.0,2.0,2.5,1.0,1.0,1.0,1.0,2.0
1990-1991,1,6,1990-10-06,RCD Mallorca,Real Betis,1:0,1990,10,5,1.0,0.0,1,0,1.0,1.0,1.0,2.0,1.0,1.5,1.0,1.0,1.0,3.0
1990-1991,1,6,1990-10-06,CD Castellón,CD Tenerife,5:1,1990,10,5,5.0,1.0,1,0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0
1990-1991,1,6,1990-10-06,Real Zaragoza,Valencia,2:1,1990,10,5,2.0,1.0,1,0,0.0,1.0,1.0,3.0,0.5,2.0,1.0,0.0,0.0,2.0
1990-1991,1,6,1990-10-06,CD Logroñés,Real Oviedo,1:0,1990,10,5,1.0,0.0,1,0,1.0,2.0,1.0,1.0,1.0,1.5,2.0,0.0,0.0,4.0
1990-1991,1,6,1990-10-06,Atlético Madrid,CA Osasuna,2:2,1990,10,5,2.0,2.0,X,1,2.0,1.0,1.0,1.0,1.5,1.0,4.0,0.0,1.0,2.0
1990-1991,1,7,1990-10-12,CA Osasuna,Barcelona,0:0,1990,10,4,0.0,0.0,X,1,3.0,1.0,1.0,0.0,2.0,0.5,3.0,1.0,1.0,0.0
1990-1991,1,10,1990-11-03,Real Oviedo,Valencia,2:1,1990,11,5,2.0,1.0,1,0,0.0,0.0,1.0,2.5,0.5,1.25,0.0,0.0,1.0,2.5
1990-1991,1,10,1990-11-03,Barcelona,Burgos CF,0:0,1990,11,5,0.0,0.0,X,1,3.5,1.0,0.5,1.0,2.0,1.0,3.5,1.0,0.5,1.0
1990-1991,1,10,1990-11-03,Sevilla FC,Sporting Gijón,1:0,1990,11,5,1.0,0.0,1,0,1.5,0.0,2.0,2.0,1.75,1.0,1.5,0.0,2.0,2.0
1990-1991,1,10,1990-11-04,Real Sociedad,Real Valladolid,1:1,1990,11,6,1.0,1.0,X,1,1.0,0.5,0.0,2.5,0.5,1.5,1.0,1.0,0.5,1.5
1990-1991,1,10,1990-11-04,Real Zaragoza,Athletic,1:0,1990,11,6,1.0,0.0,1,0,1.0,1.0,0.5,2.5,0.75,1.75,3.0,1.0,1.0,1.0
1990-1991,1,10,1990-11-04,RCD Mallorca,CA Osasuna,1:1,1990,11,6,1.0,1.0,X,1,1.0,0.5,1.5,1.5,1.25,1.0,1.0,0.0,0.5,0.5
1990-1991,1,10,1990-11-04,Cádiz CF,CD Tenerife,1:2,1990,11,6,1.0,2.0,2,2,0.5,0.5,1.0,4.0,0.75,2.25,0.5,0.5,1.0,4.0
